"District
Number",District,"Campus
Number",Campus,Region,County,"School
Type","Grades
Served","Alternative
Education
Accountability",Charter,"Number of
Students","%
Economically
Disadvantaged","% EB/EL
Students","Overall
Rating","Overall
Score","Student
Achievement
Rating","Student
Achievement
Score","School
Progress
Rating","School
Progress
Score","Academic
Growth
Rating","Academic
Growth
Score","Relative
Performance
Rating","Relative
Performance
Score","Closing
the Gaps Rating","Closing
the Gaps Score","Support
Label","Public
Education
Grant","Distinction
ELA/Reading","Distinction
Mathematics","Distinction
Science","Distinction
Soc Studies","Distinction
Progress","Distinction
Closing the Gaps","Distinction
Postsecondary
Readiness","US Congress
District","US Congress
Election District","TX House
District","TX House
Election District","TX Senate
District","TX Senate
Election District","Campus Enrollment
Type"
001902,CAYUGA ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,574,0.408,0.01,A,94,A,95,A,93,B,84,A,93,A,93,,,,,,,,,Earned,,,,,,,
001902,CAYUGA ISD,001902001,CAYUGA H S,REGION 07: KILGORE,ANDERSON,High School,12-Sep,No,No,169,0.343,0.012,A,96,A,94,A,90,A,90,B,88,A,100,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902041,CAYUGA MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,8-Jun,No,No,159,0.396,0.006,B,84,B,86,B,82,C,74,B,82,C,79,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001902,CAYUGA ISD,001902103,CAYUGA EL,REGION 07: KILGORE,ANDERSON,Elementary,KG - 05,No,No,246,0.459,0.012,A,91,A,92,A,90,B,82,A,90,B,87,,,Earned,Earned,Earned,,Not Earned,Not Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,1150,0.454,0.028,A,91,A,93,A,92,B,85,A,92,B,87,,,,,,,,,Not Earned,,,,,,,
001903,ELKHART ISD,001903001,ELKHART H S,REGION 07: KILGORE,ANDERSON,High School,12-Sep,No,No,307,0.345,0.013,B,89,A,92,B,86,C,73,B,86,B,81,,,Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903041,ELKHART MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,8-Jun,No,No,268,0.437,0.019,B,83,B,86,B,84,C,77,B,84,C,76,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903101,ELKHART EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 02,No,No,320,0.578,0.041,A,91,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001903,ELKHART ISD,001903102,ELKHART INT,REGION 07: KILGORE,ANDERSON,Elementary,5-Mar,No,No,255,0.447,0.039,A,91,A,90,B,88,B,88,B,85,A,94,,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,808,0.542,0.041,A,92,A,92,A,92,B,87,A,92,A,91,,,,,,,,,Not Earned,,,,,,,
001904,FRANKSTON ISD,001904001,FRANKSTON H S,REGION 07: KILGORE,ANDERSON,High School,12-Sep,No,No,232,0.422,0.047,A,95,A,93,A,92,A,92,B,88,A,100,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,001904041,FRANKSTON MIDDLE,REGION 07: KILGORE,ANDERSON,Middle School,8-Jun,No,No,203,0.527,0.034,C,79,C,79,B,80,C,75,B,80,C,77,,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001904,FRANKSTON ISD,001904102,FRANKSTON EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 05,No,No,373,0.625,0.04,A,93,A,90,A,90,B,88,A,90,A,100,,,Not Earned,Earned,Earned,,Not Earned,Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001906,NECHES ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,342,0.541,0.02,A,97,A,95,A,94,A,92,A,94,A,100,,,,,,,,,Earned,,,,,,,
001906,NECHES ISD,001906002,NECHES H S,REGION 07: KILGORE,ANDERSON,High School,12-Sep,No,No,104,0.481,0.029,A,95,A,95,A,92,B,89,A,92,Not Rated,.,,,Earned,Earned,Not Earned,Not Earned,Earned,,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001906,NECHES ISD,001906102,NECHES EL,REGION 07: KILGORE,ANDERSON,Elementary,PK - 08,No,No,238,0.567,0.017,A,93,A,90,B,89,B,89,B,89,A,100,,,Not Earned,Earned,Not Earned,Earned,Earned,Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,3360,0.816,0.177,B,89,B,88,A,92,B,87,A,92,B,83,,,,,,,,,Not Earned,,,,,,,
001907,PALESTINE ISD,001907001,PALESTINE H S,REGION 07: KILGORE,ANDERSON,High School,12-Sep,No,No,1040,0.799,0.138,B,88,B,87,B,89,B,81,B,89,B,84,,,Earned,Earned,Earned,Not Earned,Earned,Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907041,PALESTINE J H,REGION 07: KILGORE,ANDERSON,Middle School,8-Jul,No,No,502,0.781,0.189,B,86,C,79,B,89,B,86,B,89,C,78,,,Not Earned,Not Earned,Earned,Earned,Earned,Not Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907101,NORTHSIDE PRI,REGION 07: KILGORE,ANDERSON,Elementary,KG - 01,No,No,484,0.874,0.157,C,78,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907102,WASHINGTON EARLY CHILDHOOD CENTER,REGION 07: KILGORE,ANDERSON,Elementary,PK - PK,No,No,227,0.872,0.093,C,78,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907107,SOUTHSIDE EL,REGION 07: KILGORE,ANDERSON,Elementary,3-Feb,No,No,468,0.81,0.214,C,78,C,74,B,81,Not Rated,.,B,81,C,72,,,Not Earned,Not Earned,,,,Not Earned,Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001907,PALESTINE ISD,001907110,STORY INT,REGION 07: KILGORE,ANDERSON,Elementary,6-Apr,No,No,639,0.811,0.25,B,80,C,74,B,82,C,77,B,82,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,1332,0.74,0.071,B,88,B,85,A,92,B,89,A,92,C,77,,,,,,,,,Not Earned,,,,,,,
001908,WESTWOOD ISD,001908002,WESTWOOD H S,REGION 07: KILGORE,ANDERSON,High School,12-Sep,No,No,400,0.675,0.07,B,85,B,85,B,89,C,79,B,89,C,77,,,Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,001908041,WESTWOOD J H,REGION 07: KILGORE,ANDERSON,Middle School,8-Jul,No,No,206,0.777,0.073,C,77,Not Rated: Senate Bill 1365,67,C,79,C,79,C,72,C,72,Targeted Support,,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,001908101,WESTWOOD EL,REGION 07: KILGORE,ANDERSON,Elementary,6-Mar,No,No,384,0.745,0.081,B,83,C,72,B,86,B,86,C,77,C,76,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001908,WESTWOOD ISD,001908102,WESTWOOD PRI,REGION 07: KILGORE,ANDERSON,Elementary,EE - 02,No,No,342,0.789,0.061,B,83,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001909,SLOCUM ISD,,,REGION 07: KILGORE,ANDERSON,District,,No,No,361,0.468,0.006,B,89,A,92,A,91,B,89,A,91,B,83,,,,,,,,,Not Earned,,,,,,,
001909,SLOCUM ISD,001909001,SLOCUM H S,REGION 07: KILGORE,ANDERSON,High School,12-Sep,No,No,104,0.337,0,A,92,A,94,B,85,C,76,B,85,B,88,,,Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
001909,SLOCUM ISD,001909101,SLOCUM PK - 8,REGION 07: KILGORE,ANDERSON,Elementary,PK - 08,No,No,257,0.521,0.008,B,81,B,82,B,82,B,82,B,82,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,5,6,8,8,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,,,REGION 18: MIDLAND,ANDREWS,District,,No,No,4131,0.496,0.142,B,89,B,88,A,91,B,84,A,91,B,85,,,,,,,,,Not Earned,,,,,,,
002901,ANDREWS ISD,002901001,ANDREWS H S,REGION 18: MIDLAND,ANDREWS,High School,12-Sep,No,No,1151,0.449,0.08,B,86,B,89,A,90,C,73,A,90,C,76,,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Earned,11,19,81,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901002,ANDREWS EDUCATION CENTER,REGION 18: MIDLAND,ANDREWS,High School,12-Sep,Yes,No,60,0.6,0.033,C,76,C,76,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,11,19,81,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901041,ANDREWS MIDDLE,REGION 18: MIDLAND,ANDREWS,Middle School,8-Jun,No,No,931,0.487,0.119,B,84,B,81,B,84,B,84,B,80,B,85,Targeted Support,,Not Earned,Not Earned,Not Earned,Earned,Earned,Earned,Earned,11,19,81,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901101,DEVONIAN EL,REGION 18: MIDLAND,ANDREWS,Elementary,3-Feb,No,No,622,0.532,0.177,C,79,C,78,C,79,Not Rated,.,C,79,C,78,,,Not Earned,Not Earned,,,,Not Earned,Not Earned,11,19,81,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901104,UNDERWOOD EL,REGION 18: MIDLAND,ANDREWS,Elementary,5-Apr,No,No,605,0.506,0.167,C,74,C,74,C,75,C,75,Not Rated: Senate Bill 1365,69,C,71,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,11,19,81,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
002901,ANDREWS ISD,002901105,CLEARFORK EL,REGION 18: MIDLAND,ANDREWS,Elementary,EE - 01,No,No,762,0.531,0.226,C,79,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,11,19,81,88,31,31,ZONED SCHOOL-TRANSFERS ACCEPTED
003801,PINEYWOODS COMMUNITY ACADEMY,,,REGION 07: KILGORE,ANGELINA,District,,No,Yes,995,0.578,0.051,A,92,A,93,A,93,A,90,A,93,B,89,,,,,,,,,Earned,,,,,,,
003801,PINEYWOODS COMMUNITY ACADEMY,003801001,PINEYWOODS COMMUNITY ACADEMY H S,REGION 07: KILGORE,ANGELINA,High School,12-Sep,No,Yes,258,0.477,0.035,A,92,A,93,A,90,A,90,A,90,A,90,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,1,17,57,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
003801,PINEYWOODS COMMUNITY ACADEMY,003801002,PINEYWOOD COMMUNITY ACADEMY - LIVINGSTON,REGION 07: KILGORE,ANGELINA,High School,11-Oct,No,Yes,3,0,0,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,36,8,19,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
003801,PINEYWOODS COMMUNITY ACADEMY,003801042,DR TERRY ROBBINS MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,8-Jun,No,Yes,231,0.61,0.069,B,85,B,83,B,87,C,75,B,87,C,79,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,1,17,57,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
003801,PINEYWOODS COMMUNITY ACADEMY,003801103,SARAH STRINDEN EL,REGION 07: KILGORE,ANGELINA,Elementary,PK - 05,No,Yes,503,0.618,0.052,A,93,B,88,A,91,A,91,B,88,A,96,,,Earned,Earned,Earned,,Earned,Earned,Earned,1,17,57,9,3,3,OPEN ENROLLMENT CHARTER SCHOOL
003902,HUDSON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,2799,0.501,0.069,A,92,A,90,A,91,A,90,A,91,A,94,,,,,,,,,Not Earned,,,,,,,
003902,HUDSON ISD,003902001,HUDSON H S,REGION 07: KILGORE,ANGELINA,High School,12-Sep,No,No,815,0.425,0.043,A,91,A,93,B,88,B,87,B,88,B,85,,,Earned,Earned,Not Earned,Earned,Earned,Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003902,HUDSON ISD,003902004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,12-Oct,Yes,No,9,0.444,0,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003902,HUDSON ISD,003902041,HUDSON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,8-Jun,No,No,646,0.519,0.073,B,89,A,90,A,91,B,84,A,91,B,85,,,Earned,Earned,Not Earned,Not Earned,Earned,Earned,Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003902,HUDSON ISD,003902101,W F PEAVY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,677,0.551,0.064,B,89,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003902,HUDSON ISD,003902102,W H BONNER EL,REGION 07: KILGORE,ANGELINA,Elementary,5-Mar,No,No,652,0.529,0.103,B,89,B,82,B,86,B,86,B,82,A,96,,,Not Earned,Not Earned,Not Earned,,Not Earned,Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,7318,0.858,0.205,B,87,B,82,A,91,C,76,A,91,C,77,,,,,,,,,Earned,,,,,,,
003903,LUFKIN ISD,003903001,LUFKIN H S,REGION 07: KILGORE,ANGELINA,High School,12-Sep,No,No,2163,0.812,0.126,B,86,B,85,A,90,C,73,A,90,C,78,,,Earned,Earned,Earned,Earned,Not Earned,Earned,Earned,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,12-Sep,Yes,No,32,0.813,0.125,Not Rated: Senate Bill 1365,66,Not Rated: Senate Bill 1365,66,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,SELECTIVE ENROL SCHL-CRITERIA-BASED
003903,LUFKIN ISD,003903044,LUFKIN MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,8-Jun,No,No,1596,0.871,0.235,B,82,C,74,B,85,Not Rated: Senate Bill 1365,66,B,85,C,74,,,Not Earned,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Earned,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903120,ANDERSON EL,REGION 07: KILGORE,ANGELINA,Elementary,5-Mar,No,No,232,0.927,0.155,A,91,C,75,A,92,A,92,B,84,B,89,,,Not Earned,Earned,Earned,,Earned,Earned,Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903121,BRANDON EL,REGION 07: KILGORE,ANGELINA,Elementary,5-Mar,No,No,379,0.702,0.069,B,84,B,82,B,87,B,83,B,87,C,77,,,Earned,Earned,Earned,,Not Earned,Not Earned,Earned,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903122,BROOKHOLLOW EL,REGION 07: KILGORE,ANGELINA,Elementary,5-Mar,No,No,272,0.956,0.096,Not Rated: Senate Bill 1365,68,Not Rated: Senate Bill 1365,58,C,70,C,70,Not Rated: Senate Bill 1365,63,Not Rated: Senate Bill 1365,64,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903123,COSTON EL,REGION 07: KILGORE,ANGELINA,Elementary,5-Mar,No,No,198,0.955,0.258,B,80,Not Rated: Senate Bill 1365,69,B,83,B,83,C,76,C,73,Targeted Support,,Not Earned,Not Earned,Earned,,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903124,DUNBAR PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,405,0.758,0.064,B,84,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903125,GARRETT PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,254,0.996,0.315,B,87,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,SELECTIVE ENROL SCHL-CRITERIA-BASED
003903,LUFKIN ISD,003903126,HACKNEY PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,130,1,0.223,B,87,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,SELECTIVE ENROL SCHL-CRITERIA-BASED
003903,LUFKIN ISD,003903127,HERTY PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,254,0.949,0.185,B,80,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903128,KURTH PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,244,0.906,0.127,A,91,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003903,LUFKIN ISD,003903129,SLACK EL,REGION 07: KILGORE,ANGELINA,Elementary,5-Feb,No,No,503,0.853,0.557,B,85,C,74,B,88,B,88,B,82,C,78,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903130,TROUT PRI,REGION 07: KILGORE,ANGELINA,Elementary,EE - 02,No,No,274,0.949,0.08,Not Rated: Senate Bill 1365,68,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903131,BURLEY PRI,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,372,0.887,0.513,B,85,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003903,LUFKIN ISD,003903141,SPECIAL SERVICES,REGION 07: KILGORE,ANGELINA,Elementary,EE - EE,No,No,1,0,0,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,SELECTIVE ENRL SCHL-SPCL PGM-BASED
003903,LUFKIN ISD,003903201,JUVENILE DETENT CTR,REGION 07: KILGORE,ANGELINA,High School,11-Jul,Yes,No,9,1,0,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,SPECIAL ASSIGNMENT SCHOOL
003904,HUNTINGTON ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,1612,0.586,0.012,B,88,B,87,A,90,C,79,A,90,B,83,,,,,,,,,Not Earned,,,,,,,
003904,HUNTINGTON ISD,003904001,HUNTINGTON H S,REGION 07: KILGORE,ANGELINA,High School,12-Sep,No,No,479,0.505,0.008,B,85,B,87,B,87,C,70,B,87,C,79,,,Earned,Not Earned,Earned,Earned,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904005,PRIDE ALTER SCH,REGION 07: KILGORE,ANGELINA,High School,12-Nov,Yes,No,10,0.8,0,B,80,B,80,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904041,HUNTINGTON MIDDLE,REGION 07: KILGORE,ANGELINA,Middle School,8-Jun,No,No,376,0.625,0.027,B,83,B,81,B,86,C,79,B,86,C,77,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904101,HUNTINGTON EL,REGION 07: KILGORE,ANGELINA,Elementary,EE - 03,No,No,507,0.631,0.006,C,79,C,77,B,81,Not Rated,.,B,81,C,74,Targeted Support,,Not Earned,Not Earned,,,,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003904,HUNTINGTON ISD,003904102,HUNTINGTON INT,REGION 07: KILGORE,ANGELINA,Elementary,5-Apr,No,No,240,0.579,0.013,C,74,C,75,C,75,C,74,C,75,C,71,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,1744,0.706,0.154,Not Rated: Data Under Review,90,B,89,A,92,C,76,A,92,B,84,,,,,,,,,,,,,,,,
003905,DIBOLL ISD,003905001,DIBOLL H S,REGION 07: KILGORE,ANGELINA,High School,12-Sep,No,No,521,0.641,0.155,B,88,A,90,A,91,C,70,A,91,B,82,,,Not Earned,Not Earned,Earned,Not Earned,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905004,STUBBLEFIELD LRN CTR,REGION 07: KILGORE,ANGELINA,High School,12-Oct,Yes,No,12,0.583,0.167,C,74,C,74,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,COMBINED ENROLLMENT TYPE SCHOOL
003905,DIBOLL ISD,003905041,DIBOLL J H,REGION 07: KILGORE,ANGELINA,Middle School,8-Jun,No,No,384,0.667,0.195,C,76,C,73,C,77,C,72,C,77,C,73,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905101,H G TEMPLE EL,REGION 07: KILGORE,ANGELINA,Elementary,KG - 02,No,No,325,0.772,0.148,B,82,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905102,DIBOLL PRI,REGION 07: KILGORE,ANGELINA,Elementary,PK - PK,No,No,148,0.797,0.108,B,82,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,Not Rated,.,,,,,,,,,,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003905,DIBOLL ISD,003905103,H G TEMPLE INT,REGION 07: KILGORE,ANGELINA,Elementary,5-Mar,No,No,354,0.751,0.133,B,82,C,77,B,84,C,79,B,84,C,76,,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003906,ZAVALLA ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,300,0.687,0,B,88,B,86,A,92,Not Rated: Senate Bill 1365,60,A,92,C,79,,,,,,,,,Not Earned,,,,,,,
003906,ZAVALLA ISD,003906001,ZAVALLA H S,REGION 07: KILGORE,ANGELINA,Elem/Secondary,12-Jun,No,No,147,0.599,0,B,87,B,87,A,90,C,70,A,90,B,81,,,Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003906,ZAVALLA ISD,003906101,ZAVALLA EL,REGION 07: KILGORE,ANGELINA,Elementary,PK - 05,No,No,153,0.771,0,C,77,C,73,B,80,Not Rated: Senate Bill 1365,59,B,80,Not Rated: Senate Bill 1365,69,Targeted Support,,Not Earned,Not Earned,Not Earned,,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
003907,CENTRAL ISD,,,REGION 07: KILGORE,ANGELINA,District,,No,No,1451,0.564,0.05,A,90,B,89,A,91,C,79,A,91,B,86,,,,,,,,,Not Earned,,,,,,,
003907,CENTRAL ISD,003907001,CENTRAL H S,REGION 07: KILGORE,ANGELINA,High School,12-Sep,No,No,379,0.509,0.024,B,85,B,88,B,87,Not Rated: Senate Bill 1365,55,B,87,C,78,,,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,Not Earned,1,17,57,9,3,3,ZONED SCHOOL-TRANSFERS ACCEPTED
